date,impressions reçues,impressions prises,revenu,key,inventaire,fillRate,cpm,site,emplacement,position,format,annonceur,impressions envoyees,discrepencies,impressions facturables,campagne
2017/03/01,NA,3511,10.79,1113,AMS Market Place,22.75%,3.07,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,15432,NA,ND,ND
2017/03/01,NA,9340,29.19,1801,AMS Market Place,28.00%,3.13,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,33362,NA,ND,ND
2017/03/01,NA,609,1.9,1802,AMS Market Place,89.69%,3.12,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,679,NA,ND,ND
2017/03/01,NA,1276,4.04,2437,AMS Market Place,16.60%,3.17,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7686,NA,ND,ND
2017/03/01,NA,493,1.54,4565,AMS Market Place,16.71%,3.12,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2951,NA,ND,ND
2017/03/01,NA,3255,9.92,4566,AMS Market Place,NA,3.05,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/01,NA,3129,9.72,4567,AMS Market Place,41.36%,3.11,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7565,NA,ND,ND
2017/03/01,NA,123,0.39,4571,AMS Market Place,7.86%,3.17,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1564,NA,ND,ND
2017/03/01,NA,1079,3.39,8100,AMS Market Place,64.42%,3.14,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1675,NA,ND,ND
2017/03/01,NA,2116,6.41,13359,AMS Market Place,13.43%,3.03,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,15753,NA,ND,ND
2017/03/02,NA,1649,4.96,1113,AMS Market Place,11.96%,3.01,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,13789,NA,ND,ND
2017/03/02,NA,1505,4.52,1801,AMS Market Place,5.26%,3,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,28631,NA,ND,ND
2017/03/02,NA,13,0.04,1802,AMS Market Place,86.67%,3.08,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,15,NA,ND,ND
2017/03/02,NA,403,1.21,2437,AMS Market Place,7.88%,3,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,5114,NA,ND,ND
2017/03/02,NA,211,0.64,4565,AMS Market Place,8.86%,3.03,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2381,NA,ND,ND
2017/03/02,NA,1753,5.26,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/02,NA,1198,3.63,4567,AMS Market Place,14.87%,3.03,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8057,NA,ND,ND
2017/03/02,NA,52,0.16,4571,AMS Market Place,3.43%,3.08,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1514,NA,ND,ND
2017/03/02,NA,25,0.08,8100,AMS Market Place,4.74%,3.2,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,527,NA,ND,ND
2017/03/02,NA,1134,3.4,13359,AMS Market Place,7.63%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,14860,NA,ND,ND
2017/03/03,NA,2470,7.46,1113,AMS Market Place,11.39%,3.02,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,21688,NA,ND,ND
2017/03/03,NA,2846,8.54,1801,AMS Market Place,8.36%,3,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,34035,NA,ND,ND
2017/03/03,NA,2365,7.16,1802,AMS Market Place,49.26%,3.03,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4801,NA,ND,ND
2017/03/03,NA,453,1.65,2437,AMS Market Place,9.90%,3.64,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4575,NA,ND,ND
2017/03/03,NA,334,1.08,4565,AMS Market Place,15.07%,3.23,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,2217,NA,ND,ND
2017/03/03,NA,2742,8.22,4566,AMS Market Place,NA,3,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/03,NA,2513,7.64,4567,AMS Market Place,30.30%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,8293,NA,ND,ND
2017/03/03,NA,82,0.26,4571,AMS Market Place,7.69%,3.17,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1066,NA,ND,ND
2017/03/03,NA,35,0.11,8100,AMS Market Place,9.83%,3.14,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,356,NA,ND,ND
2017/03/03,NA,3215,9.65,13359,AMS Market Place,9.99%,3,Scorecast,Scorecast_habillage_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,32173,NA,ND,ND
2017/03/04,NA,3174,9.97,1113,AMS Market Place,13.58%,3.14,DZFoot,DZFoot_1x1_habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,23365,NA,ND,ND
2017/03/04,NA,44,0.14,1801,AMS Market Place,0.96%,3.18,Le Rugbynistere,Rugbynistere_Habillage_RG_ATF,Haut,1600x1000,Sublime Skinz,4575,NA,ND,ND
2017/03/04,NA,2159,6.56,1802,AMS Market Place,47.71%,3.04,Rugby Transferts,RugbyTransferts_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,4525,NA,ND,ND
2017/03/04,NA,345,1.04,2437,AMS Market Place,4.46%,3.01,Hockey Hebdo,HockeyHebdo_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,7731,NA,ND,ND
2017/03/04,NA,99,0.3,4565,AMS Market Place,6.53%,3.03,Sportune,Sportune_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1515,NA,ND,ND
2017/03/04,NA,1214,3.68,4566,AMS Market Place,NA,3.03,Cahiers du Football,CahierDuFootball_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,NA,NA,ND,ND
2017/03/04,NA,1557,4.73,4567,AMS Market Place,24.50%,3.04,Les Violets,AllezTFC_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,6355,NA,ND,ND
2017/03/04,NA,82,0.27,4571,AMS Market Place,7.95%,3.29,Footito,Footito_Habillage_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1032,NA,ND,ND
2017/03/04,NA,83,0.25,8100,AMS Market Place,5.67%,3.01,Actu Rugby,ActuRugby_1x1_RG_ATF,Haut,1600 x 1000,Sublime Skinz,1464,NA,ND,ND
